			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000268	DNA	DTM	1266	0	175	0	342	0	0	0	85	270	39	122	226	83	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000519	DNA	DTM	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000116	DNA	Helitron	3261	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000386	DNA	Helitron	0	1667	0	0	0	60	0	0	0	0	140	0	0	0	294	0	0	136	0	541	0	561	419	126	0	222	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000490	DNA	Helitron	569	0	0	0	1650	1116	570	564	0	0	139	13	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000798	DNA	DTA	0	0	1510	0	0	0	3164	5556	17020	15875	12598	4167	1760	1050	728	280	160	219	299	0	85	0	286	64	0	149	0	101	97	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000113	DNA	Helitron	4103	61	34	0	0	0	0	0	0	54	57	793	489	413	1021	821	2233	935	1728	695	2472	653	1037	318	218	214	585	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000816	DNA	Helitron	15592	8521	0	0	563	2016	1868	1807	1817	4544	1363	2807	2174	3131	3046	180	1731	470	5529	3574	7162	6710	4508	7360	2946	3314	3729	2784	164	1203	2505	39	400	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000226	DNA	DTC	1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000095	DNA	Helitron	2653	0	0	0	0	0	0	0	0	0	0	95	0	34	0	38	97	245	504	270	484	0	408	397	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000434_LTR	LTR	Copia	111	0	111	0	0	0	0	0	0	0	0	0	118	0	98	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000437_INT	LTR	Copia	4157	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	187	0	0	254	2886	1513	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000330_INT	LTR	Copia	3426	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	0	0	0	0	71	0	0	0	0	0	340	156	1213	121	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000127	DNA	DTC	3467	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000091	DNA	Helitron	11139	0	51	0	0	0	0	0	0	0	0	0	99	0	94	0	0	0	0	0	0	0	0	0	0	100	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000852_INT	LTR	Gypsy	5297	4378	40	0	0	0	741	0	0	1176	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	1626	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000679	DNA	Helitron	0	0	0	0	321	0	0	0	0	0	0	0	0	174	178	0	160	410	0	0	0	0	0	7	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000117	DNA	DTM	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000217	DNA	Helitron	3832	0	636	698	7012	2554	5234	18694	14220	8999	9487	2441	996	76	0	53	0	0	230	68	168	0	138	0	0	0	0	227	1218	892	175	155	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000320	DNA	DTC	1797	2949	0	0	0	0	268	322	0	0	430	0	0	368	0	0	79	0	85	571	105	0	0	315	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000569_LTR	LTR	Gypsy	0	0	0	0	0	415	0	435	231	0	0	392	0	0	105	0	0	30	60	30	60	150	0	60	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000566	MITE	DTA	470	0	0	0	0	0	0	0	0	0	40	95	115	940	889	111	1873	709	1502	1357	812	692	541	82	0	83	119	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000479	DNA	DTM	5057	1622	641	0	0	0	637	0	0	0	0	0	0	0	0	0	74	0	549	865	289	297	0	0	470	0	451	339	97	635	267	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000159	DNA	Helitron	26590	2266	547	0	0	131	820	510	497	669	60	1141	1470	1728	802	632	473	528	600	857	1159	2042	1440	1959	1540	2305	303	2714	2532	5899	9211	23455	37303	20551	10891	12913	703	1206	160	0	0	0	0	0	0	0	0	0	0	0
TE_00000786_INT	LTR	Copia	4499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	174	0	0	211	0	478	0	804	3220	3207	4764	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000284	DNA	Helitron	3033	76	641	0	71	0	0	0	0	0	125	56	178	241	325	0	316	96	78	266	0	513	265	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000167	DNA	Helitron	16675	4955	2916	54	0	591	363	92	0	408	122	203	1123	416	198	268	215	315	1214	675	787	787	1283	2187	1273	283	1060	715	815	468	274	677	92	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000851	DNA	DTH	621	0	0	0	0	0	0	0	0	0	0	0	0	127	50	65	0	164	0	0	350	760	376	568	327	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000036	DNA	DTM	1404	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000885_INT	LTR	Gypsy	6615	0	532	0	0	0	643	285	2165	2325	0	7638	2492	2807	201	3126	0	614	68	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000098	DNA	Helitron	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000457	MITE	DTH	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	192	593	202	0	202	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000608_INT	LTR	Gypsy	797	0	359	0	942	0	93	2226	427	7175	5713	0	4735	4720	113	0	1464	448	117	0	0	0	272	0	372	771	0	0	961	0	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000060	DNA	DTC	1579	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000132	DNA	Helitron	11035	698	0	0	62	92	76	0	0	0	59	0	88	181	0	0	0	0	0	0	1373	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000598_LTR	LTR	unknown	207	0	0	0	386	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000736_INT	LTR	unknown	4803	0	45	0	0	109	670	293	3893	3249	1715	295	1773	1533	5088	3821	9021	0	1791	3699	1723	925	92	16	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000916_LTR	LTR	Copia	824	0	0	0	0	382	284	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000814_LTR	LTR	unknown	291	291	582	0	0	289	293	0	0	0	0	0	0	47	501	0	100	0	96	0	0	99	104	109	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000062	DNA	Helitron	2990	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000659_LTR	LTR	Copia	380	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000614	MITE	DTA	241	0	0	0	0	0	51	0	0	0	0	0	266	0	47	46	0	263	229	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000669_INT	LTR	unknown	4526	1112	4066	175	1182	958	232	3128	1361	555	10041	0	551	837	315	105	1913	436	0	0	433	0	410	410	249	0	0	0	0	0	358	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000623_INT	LTR	Copia	5475	4937	0	0	0	1176	594	769	2616	1240	830	285	651	213	434	317	372	2783	1214	125	229	326	0	412	259	0	364	2097	1164	469	3151	0	402	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000783_LTR	LTR	Copia	274	0	274	0	0	0	0	276	269	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000870	DNA	Helitron	351	0	0	333	0	193	0	700	818	511	57	117	155	284	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000797	DNA	Helitron	223	0	0	0	0	0	45	158	306	220	397	69	276	109	269	746	76	1413	1284	444	740	1052	550	475	152	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000466_LTR	LTR	Gypsy	407	718	0	2152	412	1797	869	978	1350	146	195	0	0	312	0	0	413	414	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000609_INT	LTR	Copia	5188	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	110	340	0	0	79	54	0	60	85	724	3855	8053	6461	5744	6993	1900	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000170	DNA	Helitron	3670	0	0	67	884	750	1031	0	1012	475	916	824	409	0	1232	0	1304	0	143	71	0	0	298	173	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000826_INT	LTR	Copia	4083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	1386	0	728	0	1793	1655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000266	DNA	Helitron	7653	1086	525	242	5422	10281	1491	622	1230	968	168	865	489	111	372	812	2164	497	1051	2122	1770	1546	1902	1251	528	218	819	217	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000690	DNA	DTM	8173	0	0	734	0	0	0	67	0	0	0	0	0	0	0	0	135	87	0	0	1308	539	758	803	2300	2553	1998	113	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000442	DNA	DTM	1087	0	0	0	0	0	1094	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000682_LTR	LTR	Gypsy	0	0	407	407	0	0	0	0	0	0	0	0	0	0	0	0	361	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000037	DNA	Helitron	11894	383	598	28	0	215	0	0	144	0	0	117	74	92	121	586	143	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000161	DNA	Helitron	7960	613	5847	596	247	835	1535	1307	661	473	569	1844	1047	424	622	1246	2550	2580	2020	4354	3927	3128	3442	1205	1265	962	654	742	395	86	0	0	261	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000388	DNA	DTM	501	0	0	481	524	1036	536	0	0	0	81	0	81	0	1024	0	110	0	0	56	307	115	0	0	236	485	991	962	749	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000350	MITE	DTM	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000772_LTR	LTR	Gypsy	932	233	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000905	DNA	Helitron	8083	0	0	0	808	0	404	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	769	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000218	DNA	Helitron	10556	0	0	0	0	0	0	0	328	0	450	204	0	128	0	0	372	0	65	550	183	539	616	151	354	115	0	0	171	0	183	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000753_LTR	LTR	unknown	280	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000204	DNA	Helitron	3151	11146	100	0	0	0	0	280	59	140	168	373	330	276	249	1212	868	121	102	0	67	283	604	718	882	2976	5686	4998	4613	19920	32590	25070	36404	17660	9521	5167	1308	505	393	0	0	0	0	0	0	0	0	0	0	0
TE_00000592_INT	LTR	Copia	31	3938	0	0	0	0	0	0	0	0	0	4097	0	0	0	0	0	0	0	0	0	0	8176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000360_INT	LTR	Copia	4158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000254	DNA	DTC	1031	88	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000139	DNA	DTM	2467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000840	DNA	DTM	3961	0	4055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1836	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000378	DNA	Helitron	1647	0	0	30	0	0	0	0	0	0	433	368	1025	679	561	1147	1553	546	96	158	318	222	96	357	807	0	815	0	0	161	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000791	DNA	Helitron	0	0	1064	1382	0	0	0	0	0	0	0	0	102	0	0	100	0	0	0	0	0	0	90	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000239	DNA	Helitron	1831	0	0	0	0	332	682	0	0	190	0	0	0	0	280	0	165	301	1945	1105	482	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000844_INT	LTR	Copia	4230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	1198	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000512_LTR	LTR	Gypsy	339	339	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000790_LTR	LTR	Copia	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000052	DNA	DTH	3875	0	176	0	0	0	64	38	0	0	112	0	587	236	1449	1300	1222	763	2713	1063	2038	1274	1144	1731	719	842	842	508	489	409	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000003	DNA	DTC	2516	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000788_LTR	LTR	Gypsy	518	0	0	0	0	0	0	0	0	0	0	0	0	139	118	0	236	216	0	0	249	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000202	DNA	DTC	1861	780	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000031	DNA	Helitron	3854	0	470	1537	1158	441	0	2132	655	5088	1699	730	604	955	256	561	1453	880	699	309	580	1258	851	439	160	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000864_INT	LTR	Gypsy	4965	0	0	823	0	3823	979	0	1136	4123	0	0	0	0	0	0	0	0	0	116	104	192	0	99	101	101	101	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000165	DNA	Helitron	15982	2940	484	0	49	36	0	213	243	344	509	730	954	757	1279	527	366	1231	1245	1734	454	1331	1717	676	699	838	890	582	244	324	298	273	171	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000240	DNA	Helitron	5815	6008	1862	2712	2534	633	0	461	275	4972	8596	353	365	407	151	440	653	75	368	714	0	1005	163	491	618	708	0	919	0	345	591	1377	0	434	0	223	31	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000255	MITE	DTC	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000191	DNA	DTT	1128	0	36	0	0	0	0	0	0	0	0	0	0	0	84	45	0	161	0	0	355	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000495_INT	LTR	Gypsy	0	0	0	0	0	0	0	0	39	0	55	0	198	56	0	38	0	0	0	0	0	41	0	84	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000252	DNA	Helitron	6535	0	114	0	0	597	0	535	0	730	1624	376	287	286	0	0	0	123	459	0	0	195	0	510	0	470	269	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000053	DNA	Helitron	5446	2190	0	0	0	188	104	0	329	625	1545	1473	770	853	1750	1477	296	961	354	729	0	75	730	178	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000866_LTR	LTR	Gypsy	263	0	250	0	0	0	0	0	217	0	0	0	166	0	122	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
